Run 1,,
Threads,Clusters,Time
1,300,2082
1,600,2504
1,900,4123
1,1200,4692
1,1500,3401
1,1800,4759
1,2100,4961
1,2400,6216
1,2700,7978
1,3000,9611
,,
2,300,2920
2,600,2310
2,900,2797
2,1200,4263
2,1500,5309
2,1800,4649
2,2100,4312
2,2400,7600
2,2700,7907
2,3000,9023
,,
3,300,3056
3,600,4959
3,900,2962
3,1200,3674
3,1500,4615
3,1800,4693
3,2100,5383
3,2400,6124
3,2700,6944
3,3000,6785
,,
4,300,3114
4,600,3702
4,900,3756
4,1200,3259
4,1500,6620
4,1800,6706
4,2100,4184
4,2400,7022
4,2700,5991
4,3000,7047
,,
5,300,2826
5,600,3512
5,900,7034
5,1200,3368
5,1500,3728
5,1800,5981
5,2100,4990
5,2400,5175
5,2700,8510
5,3000,7576
,,
6,300,5421
6,600,5847
6,900,4505
6,1200,3933
6,1500,7235
6,1800,6198
6,2100,8552
6,2400,5781
6,2700,6238
6,3000,6998
,,
7,300,4794
7,600,5854
7,900,6419
7,1200,4838
7,1500,7918
7,1800,7341
7,2100,9634
7,2400,8807
7,2700,5293
7,3000,6781
,,
8,300,4093
8,600,4707
8,900,6040
8,1200,9452
8,1500,10192
8,1800,9925
8,2100,11501
8,2400,9384
8,2700,8571
8,3000,8020
