Threads	Clusters	Time
1	1000	7829
1	2000	10065
1	3000	10739
1	4000	19179
1	5000	21030
1	6000	27394
1	7000	87941
1	8000	104678
1	9000	58910
1	10000	70577
		
2	1000	4379
2	2000	6041
2	3000	8637
2	4000	11546
2	5000	15260
2	6000	21648
2	7000	72070
2	8000	65263
2	9000	34245
2	10000	41482
		
3	1000	4144
3	2000	5592
3	3000	7836
3	4000	10231
3	5000	12660
3	6000	17001
3	7000	47659
3	8000	71682
3	9000	29533
3	10000	50314
		
4	1000	4250
4	2000	6410
4	3000	9071
4	4000	9667
4	5000	14276
4	6000	17494
4	7000	51031
4	8000	51656
4	9000	28421
4	10000	32041
		
5	1000	4552
5	2000	7204
5	3000	8627
5	4000	8074
5	5000	13606
5	6000	15879
5	7000	39174
5	8000	45069
5	9000	25048
5	10000	28127
		
6	1000	3431
6	2000	6337
6	3000	9070
6	4000	10364
6	5000	13883
6	6000	16552
6	7000	42969
6	8000	44843
6	9000	25201
6	10000	28033
		
7	1000	5047
7	2000	6915
7	3000	8950
7	4000	11517
7	5000	14099
7	6000	16666
7	7000	40832
7	8000	51258
7	9000	29283
7	10000	30355
		
8	1000	5534
8	2000	6937
8	3000	8936
8	4000	11554
8	5000	15026
8	6000	18061
8	7000	49979
8	8000	45613
8	9000	25635
8	10000	30133
